gfe_id,brood_year,river,species,indicator,long,lat,area,con_unit,spawners,returns,total_er,recruits,recruits_age2,recruits_age3,recruits_age4,recruits_age5,recruits_age6,recruits_age7,returns_proportion_age_2,returns_proportion_age_3,returns_proportion_age_4,returns_proportion_age_5,returns_proportion_age_6,returns_proportion_age_7
1001,1954,TANKEEAH RIVER,PKE,N,52.30587326,-128.2577735,7,PKE-5,3500,9432.95011623119,0.628960192,7973.03069063488,7973.03069063488,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1005,1954,TOM BAY CREEK,PKE,N,52.39013661,-128.2612112,7,PKE-5,400,1078.05144185499,0.628960192,3417.01315312923,3417.01315312923,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1006,1954,"NAMELESS CREEK",PKE,N,52.42927816,-128.2200955,7,PKE-5,6500,17518.3359301436,0.628960192,17085.0657656462,17085.0657656462,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1007,1954,SALMON BAY CREEK,PKE,Y,52.48238408,-128.1957567,7,PKE-5,30000,80853.8581391245,0.628960192,79730.3069063488,79730.3069063488,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1008,1954,HIRD POINT CREEK,PKE,Y,52.56928222,-128.2320154,7,PKE-5,1500,4042.69290695623,0.628960192,3417.01315312923,3417.01315312923,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1009,1954,LARD CREEK,PKE,Y,52.73538354,-127.8255864,7,PKE-6,3500,9189.24048005254,0.619119773,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1010,1954,KAINET CREEK,PKE,Y,52.7564471,-127.8771912,7,PKE-6,90000,236294.755201351,0.619119773,73257.5991389595,73257.5991389595,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1013,1954,KORICH CREEK,PKE,Y,52.83210156,-128.1232435,7,PKE-6,400,1050.198912006,0.619119773,418.614852222626,418.614852222626,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1014,1954,POISON COVE CREEK,PKE,N,52.90099197,-128.0214545,7,PKE-6,200,525.099456003002,0.619119773,1569.80569583485,1569.80569583485,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1015,1954,MUSSEL RIVER,PKE,Y,52.92057632,-128.0324959,7,PKE-6,15000,39382.4592002252,0.619119773,7325.75991389595,7325.75991389595,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1016,1954,BOLIN BAY CREEK,PKE,Y,52.83734122,-128.2251576,7,PKE-6,1500,3938.24592002252,0.619119773,7325.75991389595,7325.75991389595,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1017,1954,CARTER RIVER,PKE,Y,52.83917985,-128.3753946,7,PKE-6,3500,9189.24048005254,0.619119773,3139.61139166969,3139.61139166969,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1018,1954,GREEN RIVER,PKE,Y,52.99619893,-128.3782571,6,PKE-6,750,1969.12296001126,0.619119773,15698.0569583485,15698.0569583485,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1019,1954,TAYLOR CREEK,PKE,N,52.97894177,-128.5094946,6,PKE-6,75,196.912296001126,0.619119773,837.229704445251,837.229704445251,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1020,1954,MARSHALL CREEK,PKE,N,53.08701791,-128.5104324,6,PKE-6,200,525.099456003002,0.619119773,1569.80569583485,1569.80569583485,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1021,1954,KHUTZE RIVER,PKE,Y,53.08524368,-128.4121689,6,PKE-6,3500,9189.24048005254,0.619119773,7325.75991389595,7325.75991389595,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
