site_name,brood_year,lat,long,site_num
CHAMISS CREEK,2004,50.0791703907892,-127.288900630707,1422
LAGOON CREEK,2004,52.9370681344608,-131.967588771934,1588
WINDY BAY CREEK,2004,52.692608357982,-131.458063293533,1709
BISH CREEK,2004,50.5126071128819,-127.734111659177,1474
ANDERSON CREEK,2004,49.6404758319326,-123.987583453276,2615
DOME CREEK,2004,53.7548562980069,-121.022675567587,163
BARNARD CREEK,2004,53.0529948883172,-129.119624635793,1869
BLACK ROCK CREEK,2004,53.19763613729,-129.314865778186,1900
BLEE CREEK,2004,52.744788899875,-128.724587363858,1843
BLOOMFIELD CREEK,2004,52.8570636052279,-128.682263296488,1844
BOTTLENECK CREEK,2004,52.7048412982792,-128.388769365065,1832
BULLOCK CHANNEL #2 CREEK,2004,52.402679642461,-128.077143469078,2689
CANYON CREEK,2004,52.6643453512386,-128.215620939465,1834
CHAMISS CREEK,2004,52.4879954870416,-128.10812921497,998
CLATSE CREEK,2004,52.3357190521707,-127.837934677419,989
CRANE BAY CREEK,2004,53.2329180805699,-129.293656848506,1902
DALLAIN CREEK,2004,52.6575674497572,-128.890126218526,1859
FANNIE COVE LEFT HAND CREEK,2004,52.0439113325627,-128.068542026954,2687
FURY CREEK,2004,52.6666795252643,-129.016829385249,1875
GIL CREEK,2004,53.1057048623277,-129.207811740518,1897
GOAT BUSHU CREEK,2004,52.2085015367676,-127.883158980877,987
GORILLA CREEK,2004,52.7114766958384,-128.316691515766,1825
HARTLEY BAY CREEK,2004,53.4259597044761,-129.252727408202,1090
HIRD POINT CREEK,2004,52.5692822173898,-128.232015366148,1008
KADJUSDIS RIVER,2004,52.1533433089102,-128.04397520282,1800
KISKOSH CREEK,2004,53.5766823473423,-129.349232370604,1087
KITASU CREEK,2004,52.5879578346521,-128.523423684647,1820
KUNSOOT RIVER,2004,52.1475296920446,-128.003274261342,1801
KWAKUSDIS RIVER,2004,52.301114999117,-128.118809734568,1813
LADEKIN CREEK,2004,53.1976675079654,-129.061990721423,429
LAGOON CREEK,2004,53.373882041322,-129.428342093335,1911
LAGOON CREEK,2004,52.6026414456055,-128.441579083942,1829
LITTLE CREEK,2004,52.6890937836426,-128.582315360237,1840
NEEKAS CREEK,2004,52.4738829818417,-128.161432177233,999
QUIGLEY CREEK,2004,52.6544212850719,-128.734868559071,1841
SALMON BAY CREEK,2004,52.4823840845309,-128.195756747822,1007
TRAHEY CREEK,2004,52.7143136606323,-128.806477825757,1857
TURN CREEK,2004,53.2243571612755,-129.30254081048,1901
TURTLE CREEK,2004,53.3211606745329,-129.279866304512,1903
TYLER CREEK,2004,52.8475698140021,-128.781519271162,1854
WEBSTER LAKE CREEK,2004,52.2838080214988,-127.989692225168,1807
AALTANHASH RIVER,2004,53.146559906844,-128.477472973342,1023
ANDERSON CREEK,2004,54.0151181797292,-128.682019811456,1077
ARNOUP CREEK,2004,52.9720681547635,-128.67669416127,1850
BIG BAY CREEK,2004,52.7887187395673,-127.993456375527,1012
BIG CREEK,2004,52.759867117172,-127.885509817499,1011
BIG TILLHORN CREEK,2004,53.5807342422235,-129.179397129091,1910
BISH CREEK,2004,53.9231459269673,-128.738164914189,1080
BOLIN BAY CREEK,2004,52.8373412210321,-128.225157577342,1016
BRIM RIVER,2004,53.5118273073412,-128.365565958899,1036
CANOONA RIVER,2004,53.0733255516754,-128.568263090691,1838
CARTER RIVER,2004,52.8391798523202,-128.375394618213,1017
DALA RIVER,2004,53.8484527502283,-128.514099126165,1045
DALLY CREEK,2004,52.885809853999,-128.664679889507,1846
DOME CREEK,2004,53.1429423421042,-128.475081397695,1022
DUTHIE CREEK,2004,52.7787463818556,-128.279702941745,1836
EAGLE BAY CREEK,2004,53.7992123003166,-128.708890821401,1042
EAST ARM CREEK,2004,53.1582184238227,-128.893460666827,1871
EMSLEY CREEK,2004,53.9023663550384,-128.794882557711,1081
EVELYN CREEK,2004,53.5842848283357,-128.955547923093,1906
FIFER COVE CREEK,2004,52.8561720553342,-128.681348796045,1845
FISHTRAP BAY CREEK,2004,53.5578201622009,-129.021062444687,1908
FOCH RIVER,2004,53.8323824989254,-129.09278167809,1083
GILTTOYEES CREEK,2004,53.9005604226649,-129.026727023781,1082
GREEN RIVER,2004,52.996198934554,-128.37825705121,1018
GREEN RIVER,2004,52.3305207356973,-127.454150883794,1799
GRIBBLE ISLAND CREEK,2004,53.3573284909091,-129.138339380643,1904
HAWKSBURY ISLAND CREEK,2004,53.4924759953909,-129.102889287723,3553
HOTSPRING CREEK,2004,53.4494549833739,-128.553045492751,1037
HUGH CREEK,2004,53.7266958262585,-128.77650488061,1041
JAMES BAY CREEK,2004,52.7188332210951,-128.224110509928,1833
KAINET CREEK,2004,52.7564471011966,-127.877191244144,1010
KEMANO RIVER,2004,53.483939419048,-128.124810984649,1034
KHUTZE RIVER,2004,53.0852436775182,-128.412168857154,1021
KILTUISH RIVER,2004,53.3218597399907,-128.466639337559,1030
KITKIATA CREEK,2004,53.6385528604189,-129.272319609175,1085
KORICH CREEK,2004,52.8321015613233,-128.123243483674,1013
LARD CREEK,2004,52.735383539551,-127.825586413584,1009
LITTLE TILLHORN CREEK,2004,53.5517444603557,-129.168315670656,1909
MARSHALL CREEK,2004,53.0870179085439,-128.510432397968,1020
MUSSEL RIVER,2004,52.9205763158124,-128.032495939088,1015
PARIL RIVER,2004,53.4884310234706,-128.765916896797,1029
POISON COVE CREEK,2004,52.900991970915904,-128.021454508538,1014
QUAAL RIVER,2004,53.6481948693458,-129.303406745887,1086
RIORDAN CREEK,2004,53.4336903499642,-128.958473230685,1905
RONALD CREEK,2004,52.9424164763082,-128.68422547353,1851
SCOW BAY CREEK,2004,53.2241635564665,-128.662550075594,1025
SODA CREEK,2004,52.8343916393975,-128.549082681687,1839
TAYLOR CREEK,2004,52.9789417699517,-128.50949460753,1019
VERNEY PASSAGE CREEK,2004,53.5684461855044,-128.997465435609,1907
WAHOO CREEK,2004,53.4920814609271,-128.119188266933,1035
WATHL CREEK,2004,53.9788698283877,-128.651582105229,1046
WEEWANIE CREEK,2004,53.6908940454927,-128.78612877621,1040
WEST ARM CREEK,2004,53.1377681213758,-128.977444734323,1870
WINDY BAY CREEK,2004,52.7753368358132,-128.203339034235,1837
HOTSPRING CREEK,2004,54.3652173450191,-128.549869125966,512
